Reporter Identifier	VALUE
ILMN_1762337	6.486
ILMN_2055271	6.7
ILMN_1736007	6.512
ILMN_2383229	6.282
ILMN_1806310	6.476
ILMN_1779670	6.38
ILMN_2321282	6.398
ILMN_1671474	6.353
ILMN_1772582	6.455
ILMN_1735698	6.519
ILMN_1653355	6.973
ILMN_1717783	6.591
ILMN_1705025	6.436
ILMN_1814316	5.791
ILMN_2359168	6.443
ILMN_1731507	6.261
ILMN_1787689	6.824
ILMN_1745607	6.262
ILMN_2136495	6.855
ILMN_1668111	6.302
ILMN_2295559	6.382
ILMN_1735045	6.593
ILMN_1680754	6.611
ILMN_2375184	6.32
ILMN_1659452	6.539
ILMN_1767388	6.639
ILMN_1675204	6.12
ILMN_1673870	6.346
ILMN_1755321	8.618
ILMN_1698554	9.923
ILMN_1814092	6.693
ILMN_1760414	6.399
ILMN_2061446	8.309
ILMN_1676336	7.626
ILMN_1752884	6.421
ILMN_1660703	6.425
ILMN_1668851	6.271
ILMN_2270015	9.065
ILMN_1809959	6.708
ILMN_2357031	6.93
ILMN_1726986	10.9
ILMN_1688755	7.83
ILMN_1880387	6.573
ILMN_1689211	6.447
ILMN_1653165	9.277
ILMN_1729835	6.22
ILMN_1662364	14.03
ILMN_1674698	8.928
ILMN_1700461	9.894
ILMN_1784269	9.073
ILMN_1698189	9.643
ILMN_2096191	11.24
ILMN_1678323	7.351
ILMN_2157219	7.635
ILMN_1703743	9.946
ILMN_1699334	6.449
ILMN_1687609	6.856
ILMN_2068874	6.398
ILMN_1670117	6.753
ILMN_1805104	7.653
ILMN_2404407	7.835
ILMN_1766054	7.737
ILMN_1753388	6.403
ILMN_2070570	7.129
ILMN_2232084	7.589
ILMN_1750250	6.531
ILMN_2361400	7.045
ILMN_1704579	6.343
ILMN_1687636	6.423
ILMN_1747627	8.509
ILMN_1758523	9.482
ILMN_1794965	6.87
ILMN_1722286	6.662
ILMN_1784176	6.35
ILMN_1749001	6.384
ILMN_1701551	6.328
ILMN_1795507	6.524
ILMN_1729894	6.53
ILMN_1743205	7.803
ILMN_2259319	6.389
ILMN_2129886	6.147
ILMN_1796801	6.589
ILMN_1720501	7.098
ILMN_1668446	6.402
ILMN_1812070	6.395
ILMN_2094875	6.36
ILMN_1665730	8.466
ILMN_2232066	6.971
ILMN_1767349	6.3
ILMN_1658257	6.248
ILMN_2193980	10.55
ILMN_1687840	9.794
ILMN_2102422	7.038
ILMN_1788928	6.906
ILMN_2343047	7.846
ILMN_2343048	9.161
ILMN_2335302	6.542
ILMN_1802404	7.6
ILMN_1776119	7.196
ILMN_2358714	6.463
ILMN_1732140	6.916
ILMN_1713008	6.73
ILMN_1762093	6.81
ILMN_1709092	6.378
ILMN_1678409	6.317
ILMN_1774344	6.726
ILMN_1676278	6.524
ILMN_1717466	6.311
ILMN_1677814	6.484
ILMN_1788457	11.15
ILMN_2194009	11.15
ILMN_2302358	6.546
ILMN_1706531	9.931
ILMN_1651964	10.13
ILMN_1725675	6.472
ILMN_1778352	6.465
ILMN_1725414	6.493
ILMN_2293902	6.207
ILMN_1801521	6.353
ILMN_2406654	7.025
ILMN_1767129	6.884
ILMN_1751453	6.33
ILMN_1746196	6.468
ILMN_2366473	6.653
ILMN_1772189	8.529
ILMN_1652959	6.301
